State,District,Market,Commodity,Variety,Grade,Modal Price,Year,Month,Week,Day,Price_Range,Mid_Price,Volatility
19,13,788,22,62,0,1800.0,2023,7,30,27,0.0,1800.0,0.0
19,13,788,26,71,0,2500.0,2023,7,30,27,0.0,2500.0,0.0
19,13,788,27,33,0,3200.0,2023,7,30,27,0.0,3200.0,0.0
19,13,788,35,83,0,2300.0,2023,7,30,27,0.0,2300.0,0.0
19,13,788,175,307,0,3000.0,2023,7,30,27,0.0,3000.0,0.0
19,13,1017,21,56,0,3500.0,2023,7,30,27,0.0,3500.0,0.0
19,13,1017,27,73,0,2800.0,2023,7,30,27,0.0,2800.0,0.0
19,13,1017,38,252,0,1800.0,2023,7,30,27,0.0,1800.0,0.0
19,13,1017,88,176,0,2900.0,2023,7,30,27,0.0,2900.0,0.0
19,13,1017,147,346,0,2000.0,2023,7,30,27,0.0,2000.0,0.0
19,13,1017,167,307,0,1800.0,2023,7,30,27,0.0,1800.0,0.0
19,13,1017,169,307,0,1500.0,2023,7,30,27,0.0,1500.0,0.0
19,13,1017,212,202,0,1500.0,2023,7,30,27,0.0,1500.0,0.0
20,80,572,217,257,0,2250.0,2023,7,30,27,200.0,2250.0,0.0888494002665482
20,311,992,147,303,0,1100.0,2023,7,30,27,200.0,1100.0,0.18165304268846502
20,311,992,167,330,0,1200.0,2023,7,30,27,400.0,1200.0,0.33305578684429643
20,311,992,212,421,0,11000.0,2023,7,30,27,2000.0,11000.0,0.181801654395055
23,283,312,21,56,0,3500.0,2023,7,30,27,1000.0,3500.0,0.2856326763781777
23,283,312,27,359,0,3000.0,2023,7,30,27,1000.0,3000.0,0.3332222592469177
23,283,312,88,176,0,17500.0,2023,7,30,27,5000.0,17500.0,0.2856979601165648
23,283,312,147,303,0,3000.0,2023,7,30,27,2000.0,3000.0,0.6664445184938353
23,283,312,167,330,0,2150.0,2023,7,30,27,700.0,2150.0,0.32543003254300323
23,283,312,174,275,0,3300.0,2023,7,30,27,200.0,3300.0,0.060587700696758555
23,283,561,21,56,0,3500.0,2023,7,30,27,1000.0,3500.0,0.2856326763781777
23,283,561,22,62,0,4500.0,2023,7,30,27,1000.0,4500.0,0.22217285047767163
23,283,561,27,359,0,2500.0,2023,7,30,27,1000.0,2500.0,0.39984006397441024
